0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
1,1,ITA - O que é Overflow?,9,H(red),C,he.c,judged,notteam65 (1),YES
2,1,IME-Atlântico,13,H(red),C++,h.cpp,judged,notteam62 (1),YES
3,1,FIPP/UNOESTE #1,13,H(red),C++,he.cpp,judged,notteam62 (1),No - Incorrect output
4,1,Unicamp NP-Rosa-Choque,14,H(red),C++,he.cpp,judged,notteam61 (1),YES
5,1,UFRGS Veni Vidi Duci,14,H(red),C++,he.cpp,judged,notteam65 (1),YES
6,1,CESUPA #3,15,A(brown),Java,ambiguous.java,judged,notteam61 (1),No - Incorrect output
7,1,UFSCoders,17,H(red),C++,he.cpp,judged,notteam65 (1),YES
8,1,PUC Rio NósNumSamba,17,H(red),C++,he.cpp,judged,notteam62 (1),YES
9,1,ITA - Baiamahrim,17,H(red),C++,he.cpp,judged,notteam62 (1),YES
10,1,IME-Ártico,17,H(red),Java,he.java,judged,notteam61 (1),YES
11,1,ICMC-USP IfThenElse,17,H(red),C,he.c,judged,notteam62 (1),YES
12,1,IME-USP Who wants to code forever?,18,H(red),C++,he.cpp,judged,notteam61 (1),YES
13,1,UFV They tell and They tell,18,H(red),C++,he.cpp,judged,notteam61 (1),YES
14,1,UFPR Triforce,19,H(red),C++,he.cpp,judged,notteam62 (1),YES
15,1,"PUC Rio Cnuth, Dijkstra & Edmonds",19,H(red),C++,he.cpp,judged,notteam61 (1),YES
16,1,UFPE PC JAM,20,H(red),C++,he.cpp,judged,notteam62 (1),YES
17,1,IME-USP O fim dos pesquisadores,21,H(red),C++,he.cpp,judged,notteam65 (1),YES
18,1,FURG OMEGA,21,H(red),C,h.c,judged,notteam62 (1),YES
19,1,UECE - Die aphthe schmerzen,22,H(red),C,he.c,judged,notteam62 (1),YES
20,1,UnB Crazy Programming Turkeys,22,H(red),C,he.c,judged,notteam62 (1),YES
21,1,UFC - AVL Team,22,H(red),C,he.c,judged,notteam62 (1),YES
22,1,CESUPA #3,23,A(brown),Java,ambiguous.java,judged,notteam62 (1),No - Incorrect output
23,1,UFES NULL,24,H(red),C++,he.cpp,judged,notteam65 (1),YES
24,1,DCC-UFRJ YEP,25,H(red),C,he.c,judged,notteam65 (1),YES
25,1,ICMC-USP Animaniacs,26,H(red),C,he.c,judged,notteam65 (1),YES
26,1,UFRN JumenTeam,27,H(red),C++,he.cpp,judged,notteam62 (1),YES
27,1,UERJ - Coders,27,D(dark blue),C++,drop.cpp,judged,notteam62 (1),No - Incorrect output
28,1,UFS Anuncie Aqui,28,H(red),C++,he.cpp,judged,ranido (1),YES
29,1,DCC-UFRJ NOP,29,H(red),C,he.c,judged,notteam61 (1),No - Incorrect output
30,1,"UECE - Camila, Tainara, Leonilia",30,H(red),C++,he.cc,judged,notteam62 (1),YES
31,1,Unicamp GAP,31,H(red),C++,h.cpp,judged,notteam62 (1),No - Incorrect output
32,1,UNAES Exception Error,32,H(red),C++,he.cpp,judged,notteam62 (1),YES
33,1,UEMS É nóis na fita,33,H(red),C,he.c,judged,ranido (1),YES
34,1,UniSantos #1,34,H(red),C,he.c,judged,notteam61 (1),No - Incorrect output
35,1,UFRGS Submit & Run!,34,H(red),C++,he.cpp,judged,notteam62 (1),YES
36,1,IBILCE/UNESP Até o fim,35,H(red),C++,he.cpp,judged,notteam62 (1),YES
37,1,UFCG Izaque's Team,35,H(red),Java,he.java,judged,notteam62 (1),YES
38,1,UFMG aniMOUSEs,36,H(red),C++,he.cpp,judged,notteam62 (1),YES
39,1,UDESC 03 - KCT,36,H(red),C++,he.cpp,judged,notteam62 (1),YES
40,1,DCC-UFRJ NOP,36,H(red),C,he.c,judged,notteam62 (1),No - Incorrect output
41,1,IME-USP Who wants to code forever?,37,I(blue),C++,icpc.cpp,judged,notteam62 (1),No - Incorrect output
42,1,DCC-UFRJ NOP,38,H(red),C,he.c,judged,notteam65 (1),YES
43,1,PUC MG The Bugs on the Table,39,H(red),C,he.c,judged,notteam62 (1),YES
44,1,UFMS Xiforímpula,39,H(red),C++,heIsOffside.cc,judged,notteam62 (1),YES
45,1,UniSantos #1,40,H(red),C,he.c,judged,ranido (1),YES
46,1,UNIP TriForce,40,H(red),Java,he.java,judged,notteam65 (1),YES
47,1,UNIFEI Plante queijo na monarquia,41,H(red),C++,he.cpp,judged,ranido (1),YES
48,1,UFMG ROFLcopters,41,H(red),C++,he.cpp,judged,ranido (1),No - Incorrect output
49,1,UERJ - Coders,42,H(red),C++,he.cpp,judged,notteam65 (1),No - Incorrect output
50,1,Unicamp GAP,42,H(red),C++,H.cpp,judged,notteam65 (1),No - Incorrect output
51,1,ITA - O que é Overflow?,42,C(violet),C,carplates.c,judged,ranido (1),No - Incorrect output
52,1,Unicamp GAP,43,H(red),C++,H.cpp,judged,notteam62 (1),YES
53,1,Unioeste Capim Canela,43,H(red),C++,he.cpp,judged,notteam65 (1),No - Incorrect output
54,1,UFMA debug is on the table,44,H(red),C++,h.cpp,judged,notteam62 (1),No - Incorrect output
55,1,UERJ - Coders,46,H(red),C++,he.cpp,judged,ranido (1),YES
56,1,Uninove Eq. Memorial da América Latina,46,H(red),C,he.c,judged,ranido (1),No - Incorrect output
57,1,ITA - O que é Overflow?,47,C(violet),C,carplates.c,judged,notteam62 (1),YES
58,1,USJT 1,50,H(red),Java,he.java,judged,notteam62 (1),No - Incorrect output
59,1,CESUPA #3,50,A(brown),Java,ambiguous.java,judged,notteam62 (1),No - Incorrect output
60,1,FIPP/UNOESTE #1,50,H(red),C++,he.cpp,judged,notteam62 (1),No - Incorrect output
61,1,UFMA debug is on the table,52,H(red),C++,h.cpp,judged,notteam62 (1),No - Incorrect output
62,1,IME-USP Who wants to code forever?,53,G(green),C++,galou.cpp,judged,notteam62 (1),YES
63,1,Unioeste Capim Canela,53,H(red),C++,he.cpp,judged,notteam62 (1),YES
64,1,UFMG ROFLcopters,54,H(red),C++,he.cpp,judged,notteam65 (1),YES
65,1,UFPR Triforce,57,D(dark blue),C++,drop.cpp,judged,notteam65 (1),No - Incorrect output
66,1,UPE The POGgers,58,H(red),C++,he.cpp,judged,notteam61 (1),YES
67,1,UFPR Triforce,59,D(dark blue),C++,drop.cpp,judged,notteam62 (1),No - Incorrect output
68,1,IME-USP Who wants to code forever?,61,I(blue),C++,icpc.cpp,judged,notteam62 (1),No - Incorrect output
69,1,UFES NULL,62,C(violet),C++,carplates.cpp,judged,notteam65 (1),No - Incorrect output
70,1,CESUPA #3,62,H(red),Java,he.java,judged,notteam61 (1),No - Incorrect output
71,1,IME-Atlântico,65,C(violet),C++,carplates.cpp,judged,notteam65 (1),No - Incorrect output
72,1,DCC-UFRJ YEP,66,D(dark blue),C++,drop.cpp,judged,notteam62 (1),No - Runtime error
73,1,IME-USP O fim dos pesquisadores,66,D(dark blue),C++,drop.cpp,judged,notteam65 (1),No - Time limit exceeded
74,1,USJT 1,67,H(red),Java,he.java,judged,ranido (1),No - Incorrect output
75,1,UFV They tell and They tell,69,G(green),C++,galou.cpp,judged,notteam61 (1),No - Incorrect output
76,1,DCC-UFRJ YEP,71,D(dark blue),C++,drop.cpp,judged,notteam62 (1),No - Incorrect output
77,1,ITA - Baiamahrim,73,C(violet),C++,carplates.cpp,judged,notteam62 (1),No - Incorrect output
78,1,UFMA debug is on the table,73,H(red),C++,h.cpp,judged,notteam62 (1),YES
79,1,UFRGS Veni Vidi Duci,74,C(violet),C++,carplates.cpp,judged,notteam65 (1),No - Incorrect output
80,1,IME-Atlântico,74,C(violet),C++,carplates.cpp,judged,notteam62 (1),YES
81,1,Unicamp GAP,74,G(green),C++,G.cpp,judged,ranido (1),YES
82,1,IME-USP O fim dos pesquisadores,77,G(green),C++,galou.cpp,judged,notteam62 (1),YES
83,1,UFRGS Veni Vidi Duci,78,C(violet),C++,carplates.cpp,judged,ranido (1),YES
84,1,USJT 1,79,H(red),Java,he.java,judged,ranido (1),No - Incorrect output
85,1,UDESC 03 - KCT,80,C(violet),C++,carplates.cpp,judged,notteam62 (1),YES
86,1,UFES NULL,80,C(violet),C++,carplates.cpp,judged,notteam62 (1),YES
87,1,Uninove Eq. Memorial da América Latina,82,H(red),C,he.c,judged,ranido (1),No - Incorrect output
88,1,CESUPA #3,83,E(orange),Java,emoticons.java,judged,ranido (1),No - Time limit exceeded
89,1,ITA - Baiamahrim,85,C(violet),C++,carplates.cpp,judged,notteam62 (1),No - Incorrect output
90,1,ITA - O que é Overflow?,85,G(green),C,galou.c,judged,notteam65 (1),YES
91,1,ICMC-USP IfThenElse,85,C(violet),C++,carplates.cpp,judged,ranido (1),YES
92,1,USJT 1,86,H(red),Java,he.java,judged,notteam62 (1),No - Incorrect output
93,1,Unicamp NP-Rosa-Choque,87,G(green),C++,galou.cpp,judged,notteam62 (1),No - Incorrect output
94,1,UFSCoders,87,F(white),C++,find.cpp,judged,ranido (1),No - Compilation error
95,1,IME-USP Who wants to code forever?,87,I(blue),C++,icpc.cpp,judged,notteam65 (1),No - Incorrect output
96,1,"PUC Rio Cnuth, Dijkstra & Edmonds",87,G(green),C++,galou.cpp,judged,notteam62 (1),YES
97,1,UFSCoders,89,F(white),C++,find.cpp,judged,ranido (1),No - Compilation error
98,1,FIPP/UNOESTE #1,90,E(orange),C++,emoticons.cpp,judged,notteam62 (1),No - Incorrect output
99,1,UFC - AVL Team,91,G(green),C++,G.cpp,judged,notteam62 (1),YES
100,1,IBILCE/UNESP Até o fim,91,F(white),C++,find.cpp,judged,notteam62 (1),YES
101,1,DCC-UFRJ YEP,93,C(violet),C,carplates.c,judged,ranido (1),No - Incorrect output
102,1,IME-USP Who wants to code forever?,93,C(violet),C++,carplates.cpp,judged,notteam62 (1),YES
103,1,USJT 1,94,H(red),Java,he.java,judged,notteam62 (1),YES
104,1,Unicamp NP-Rosa-Choque,94,G(green),C++,galou.cpp,judged,notteam62 (1),No - Incorrect output
105,1,UNIPAM Killers,96,E(orange),Java,emoticons.java,judged,notteam65 (1),No - Incorrect output
106,1,IME-USP O fim dos pesquisadores,97,D(dark blue),C++,drop.cpp,judged,notteam62 (1),No - Time limit exceeded
107,1,IME-Ártico,99,D(dark blue),Java,drop.java,judged,notteam62 (1),No - Incorrect output
108,1,FIPP/UNOESTE #1,100,H(red),C++,he.cpp,judged,notteam62 (1),No - Incorrect output
109,1,UFSCoders,102,F(white),C++,find.cpp,judged,notteam65 (1),YES
110,1,UECE - Die aphthe schmerzen,102,C(violet),C,carplates.c,judged,notteam65 (1),YES
111,1,"UECE - Camila, Tainara, Leonilia",103,G(green),C++,galou.cc,judged,notteam62 (1),No - Incorrect output
112,1,CESUPA #3,103,E(orange),Java,emoticons.java,judged,notteam65 (1),No - Incorrect output
113,1,UEMS É nóis na fita,104,D(dark blue),C,drop.c,judged,notteam65 (1),No - Incorrect output
114,1,UNIFEI Plante queijo na monarquia,107,C(violet),C++,carplates.cpp,judged,notteam62 (1),YES
